CUST_ID,ARTICLE_ID,RATING
A32A1D3VE1IQKS,#5046,0.0
A32A1D3VE1IQKS,#5802,0.0
A32A1D3VE1IQKS,#5387,0.0
A32A1D3VE1IQKS,#5634,1.0
A32A1D3VE1IQKS,#5627,1.0
A32A1D3VE1IQKS,#4053,1.0
A32A1D3VE1IQKS,#5311,1.0
A32A1D3VE1IQKS,#4769,0.0
A32A1D3VE1IQKS,#4309,1.0
A32A1D3VE1IQKS,#5464,0.0
A32A1D3VE1IQKS,#5488,0.0
A32A1D3VE1IQKS,#4595,1.0
A32A1D3VE1IQKS,#5507,1.0
A32A1D3VE1IQKS,#4619,1.0
A32A1D3VE1IQKS,#4281,0.0
A32A1D3VE1IQKS,#5955,0.0
A32A1D3VE1IQKS,#4310,1.0
A32A1D3VE1IQKS,#5646,0.0
A32A1D3VE1IQKS,#4180,1.0
A32A1D3VE1IQKS,#4014,1.0
A20ETN0FA897XC,#4938,0.0
A20ETN0FA897XC,#5725,1.0
A20ETN0FA897XC,#4482,1.0
A20ETN0FA897XC,#5098,1.0
A20ETN0FA897XC,#4793,1.0
A20ETN0FA897XC,#5276,1.0
A20ETN0FA897XC,#5407,1.0
A20ETN0FA897XC,#4640,0.0
A20ETN0FA897XC,#4718,1.0
A3FIN4CUQQ8RN7,#4182,0.0
A20ETN0FA897XC,#5131,1.0
A3FIN4CUQQ8RN7,#4559,1.0
A3FIN4CUQQ8RN7,#4973,1.0
A3FIN4CUQQ8RN7,#4261,0.0
A3FIN4CUQQ8RN7,#4315,1.0
A3FIN4CUQQ8RN7,#4787,1.0
A3FIN4CUQQ8RN7,#5319,0.0
A3FIN4CUQQ8RN7,#4084,1.0
A3FIN4CUQQ8RN7,#5330,1.0
A29PKMLH38N148,#4599,1.0
A20ETN0FA897XC,#5944,1.0
A3FIN4CUQQ8RN7,#5164,1.0
A29PKMLH38N148,#5212,1.0
A20ETN0FA897XC,#5030,1.0
A29PKMLH38N148,#4168,0.0
A3FIN4CUQQ8RN7,#4844,0.0
A29PKMLH38N148,#4531,1.0
A20ETN0FA897XC,#5526,1.0
A3FIN4CUQQ8RN7,#4016,1.0
A29PKMLH38N148,#5177,1.0
A29PKMLH38N148,#4947,1.0
A3FIN4CUQQ8RN7,#4720,0.0
A29PKMLH38N148,#5673,1.0
A3FIN4CUQQ8RN7,#5524,1.0
A20ETN0FA897XC,#4812,1.0
A29PKMLH38N148,#5923,1.0
A29PKMLH38N148,#5641,1.0
A29PKMLH38N148,#4065,0.0
A3FIN4CUQQ8RN7,#5281,0.0
A20ETN0FA897XC,#4987,1.0
A29PKMLH38N148,#4423,0.0
A3FIN4CUQQ8RN7,#5252,0.0
A29PKMLH38N148,#5895,1.0
A3FIN4CUQQ8RN7,#5299,1.0
A29PKMLH38N148,#5982,1.0
A20ETN0FA897XC,#5227,0.0
A29PKMLH38N148,#4110,0.0
A29PKMLH38N148,#5119,0.0
A3FIN4CUQQ8RN7,#5155,1.0
A20ETN0FA897XC,#4140,1.0
A29PKMLH38N148,#4879,1.0
A29PKMLH38N148,#5032,1.0
A3FIN4CUQQ8RN7,#5547,1.0
A19QMK6Z98GB7R,#5735,1.0
A20ETN0FA897XC,#5205,1.0
A29PKMLH38N148,#5345,0.0
A3FIN4CUQQ8RN7,#5152,1.0
A29PKMLH38N148,#5636,1.0
A20ETN0FA897XC,#5314,1.0
A29PKMLH38N148,#5661,1.0
A19QMK6Z98GB7R,#4842,1.0
A3FIN4CUQQ8RN7,#5110,1.0
A29PKMLH38N148,#5179,1.0
A3FIN4CUQQ8RN7,#4177,1.0
A29PKMLH38N148,#4759,1.0
A20ETN0FA897XC,#5903,1.0
A29PKMLH38N148,#5041,1.0
A3FIN4CUQQ8RN7,#4457,1.0
A29PKMLH38N148,#5436,1.0
A3FIN4CUQQ8RN7,#5693,1.0
A20ETN0FA897XC,#5977,1.0
A29PKMLH38N148,#5194,1.0
A29PKMLH38N148,#4174,1.0
A3FIN4CUQQ8RN7,#4622,1.0
A29PKMLH38N148,#5273,1.0
A20ETN0FA897XC,#4487,1.0
A3FIN4CUQQ8RN7,#5055,1.0
A29PKMLH38N148,#4261,1.0
A29PKMLH38N148,#4869,1.0
A20ETN0FA897XC,#4018,1.0
A3FIN4CUQQ8RN7,#4815,0.0
A29PKMLH38N148,#5708,1.0
A3FIN4CUQQ8RN7,#5908,0.0
A29PKMLH38N148,#4597,1.0
A20ETN0FA897XC,#4043,1.0
A29PKMLH38N148,#4906,1.0
A29PKMLH38N148,#5495,1.0
A3FIN4CUQQ8RN7,#4605,0.0
A20ETN0FA897XC,#4499,0.0
A29PKMLH38N148,#4828,0.0
A3FIN4CUQQ8RN7,#4130,1.0
A29PKMLH38N148,#5722,1.0
A3FIN4CUQQ8RN7,#5594,0.0
A29PKMLH38N148,#4966,1.0
A20ETN0FA897XC,#5142,1.0
A3FIN4CUQQ8RN7,#5900,1.0
A29PKMLH38N148,#5769,1.0
A29PKMLH38N148,#4974,1.0
A3FIN4CUQQ8RN7,#4753,0.0
A29PKMLH38N148,#5451,1.0
A20ETN0FA897XC,#4880,1.0
A3FIN4CUQQ8RN7,#4823,1.0
A29PKMLH38N148,#5689,1.0
A3FIN4CUQQ8RN7,#4080,0.0
A20ETN0FA897XC,#5229,1.0
A29PKMLH38N148,#5019,1.0
A3FIN4CUQQ8RN7,#5036,1.0
A29PKMLH38N148,#4840,0.0
A3FIN4CUQQ8RN7,#4743,0.0
A20ETN0FA897XC,#4930,1.0
A29PKMLH38N148,#4674,0.0
A3FIN4CUQQ8RN7,#5269,1.0
A29PKMLH38N148,#5499,1.0
A20ETN0FA897XC,#4816,0.0
A3FIN4CUQQ8RN7,#5127,1.0
A29PKMLH38N148,#4327,1.0
A29PKMLH38N148,#4948,1.0
A3FIN4CUQQ8RN7,#5500,1.0
A29PKMLH38N148,#4709,0.0
A20ETN0FA897XC,#5974,1.0
A3FIN4CUQQ8RN7,#4263,1.0
A29PKMLH38N148,#4527,1.0
A29PKMLH38N148,#5125,1.0
A3FIN4CUQQ8RN7,#5097,1.0
A29PKMLH38N148,#4004,0.0
A20ETN0FA897XC,#5812,1.0
A3FIN4CUQQ8RN7,#5113,1.0
A3FIN4CUQQ8RN7,#4795,1.0
A20ETN0FA897XC,#4350,1.0
A3FIN4CUQQ8RN7,#4771,0.0
A20ETN0FA897XC,#4824,1.0
A20ETN0FA897XC,#5223,1.0
A20ETN0FA897XC,#4139,0.0
A20ETN0FA897XC,#5703,0.0
A20ETN0FA897XC,#4530,1.0
A3FIN4CUQQ8RN7,#4470,1.0
A3FIN4CUQQ8RN7,#4053,1.0
A3FIN4CUQQ8RN7,#5424,1.0
A3FIN4CUQQ8RN7,#4527,1.0
A26T17KHYA5S3S,#4064,1.0
A26T17KHYA5S3S,#5704,0.0
A26T17KHYA5S3S,#5834,0.0
A26T17KHYA5S3S,#4794,1.0
A26T17KHYA5S3S,#4536,0.0
A26T17KHYA5S3S,#5608,1.0
A26T17KHYA5S3S,#4328,0.0
A26T17KHYA5S3S,#4758,0.0
